unitname,description,procure_type,budgetyear,method,budget,approve_type,procure_status,approvedate,saler,product,approve_budget,country,period,editor,remark,file
ทบ.,สพ.ทบ. จัดหากระสุนปืนใหญ่กลางวิถีโค้ง ขนาด 155 มม. ชนิดส่องแสงเพิ่มระยะกลาง (ILLUM-ER-BT) จำนวน 450 นัด,ซื้อ,59,พิเศษ,87750000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-03,บริษัท รอยัล ดีเฟนส์ จำกัด,,,ประเทศไทย,,,18,
ทบ.,"พธ.ทบ.  จ้างผลิตเสื้อยืดคอรูปตัววี (สีกากีแกมเขียว และสีพรางลายดิจิตอล) จำนวน 449,711 ตัว",จ้าง,59,e - bidding,104715441,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-03,บริษัท ไทยทูเวย์ แฟบริค จำกัด,,,ประเทศไทย,,,19,
ทบ.,สพ.ทบ. จัดหากระสุนปืนใหญ่เบาวิถีโค้ง ขนาด 105 มม. ชนิดควัน RP เพิ่มระยะกลาง (RED PHOSPHOROUS ER-BT) จำนวน 720 นัด,ซื้อ,59,พิเศษ,126000000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-03,บริษัท รอยัล ดีเฟนส์ จำกัด,,,ประเทศไทย,,,20,
ทบ.,"พธ.ทบ. จ้างผลิตรองเท้าทรงสูงครึ่งน่อง จำนวน 142,785 คู่",จ้าง,59,e - bidding,157063500,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-03,บริษัท เอส แอนด์ อาร์ ฟุตแวร์ จำกัด,,,ประเทศไทย,,,21,
ทบ.,สพ.ทบ. จัดหากระสุนปืนใหญ่กลางวิถีโค้ง ขนาด 155 มม. ชนิดระเบิดแรงสูง (Super High Explosive) จำนวน 750 นัด,ซื้อ,59,พิเศษ,137700000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-08,บริษัท ISRAEL MILITARY INDUSTRIES LTD (I.M.I),,,รัฐอิสราเอล,,,22,
ทบ.,"สพ.ทบ. จัดหาลูกระเบิดยิงจากเครื่องยิงลูกระเบิด ขนาด60 มม. ชนิดส่องแสง แบบที่ 1 จำนวน 1,970 นัด",ซื้อ,59,พิเศษ,79475788.8,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-09,บริษัท ISRAEL MILITARY INDUSTRIES LTD (I.M.I),,,รัฐอิสราเอล,,,23,
ทบ.,"สส.  โครงการจัดหาชุดวิทยุทดแทน AN/PRC-624 (ระยะที่ 1 ห้วงที่3) จัดหาชุดวิทยุVHF/FM ทางทหารระดับหมู่-มว. ชนิดมือถือ จำนวน 1,307 ชุด",ซื้อ,59-61,พิเศษ,420000000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-09,บริษัท Elbit System Land  And C41 Ltd.รัฐอิสราเอล,,,รัฐอิสราเอล,,,24,
ทบ.,สส.  โครงการจัดหาเครื่องมือสื่อสาร (หน่วย ส.) จำนวน ๖ รายการ ได้แก่,ซื้อ,59,พิเศษ,119907001.5,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-13,บริษัท Elbit System Land  And C41 Ltd.รัฐอิสราเอล,,,รัฐอิสราเอล,,,25,
ทบ.,สส.  โครงการจัดหาเครื่องมือด้านการข่าวตาม อจย.ขกท.,ซื้อ,59,พิเศษ,80000000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-13,บริษัท เพลสซิ่ง แวลู จำกัด,,,ประเทศไทย,,,26,
ทบ.,สพ.ทบ. จัดหาระบบเครื่องควบคุมการยิง รถถัง เอ็ม 60 เอ 3 จำนวน 15 ระบบ,ซื้อ,59-61,พิเศษ,648455310,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-14,บริษัท Elbit System Land  And C41 Ltd.รัฐอิสราเอล,,,รัฐอิสราเอล,,,27,
ทบ.,สพ.ทบ. โครงการจัดหา ถ. ทดแทน (ถ.เอ็ม 41) ระยะที่ 2 รถถังหลัก (Main Battle Tank VT4)  จำนวน ๒๘ คัน,จ้าง,59-62,G TO G,4985391600,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-17,รัฐบาลสาธารณรัฐประชาชนจีน (สปจ.),,,สาธารณรัฐประชาชนจีน (สปจ.),,,28,
ทบ.,ยย.ทบ. จ้างเหมางานก่อสร้างเรือนรับรองทำเนียบรัฐบาล,จ้าง,59-60,พิเศษ,136987000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-18,กิจการร่วมค้า วิทย์การช่าง  -ไซเลนเทค ,,,ประเทศไทย,,,29,
